timestamp,x,y,z
1732085260374972554,38.58069749550441,4.7824287673134585,0.195
1732085260499972555,38.4742493805035,4.791708693688818,0.194
1732085260624972555,38.375235055694866,4.78007354609362,0.189
1732085260749972556,38.27250383921924,4.778895936029507,0.184
1732085260874972556,38.16605572525448,4.788175867289167,0.184
1732085260999972558,38.05871589864535,4.773581611040898,0.185
1732085261124972557,37.943942282546956,4.77990243452647,0.185
1732085261249972558,37.83660245625456,4.76530818139263,0.187
1732085261374972559,37.72926263010364,4.750713929296282,0.184
1732085261499972559,37.61820590981057,4.7465772173112555,0.176
1732085261624972560,37.50714918956079,4.742440508315632,0.172
1732085261749972560,37.391483858483205,4.724887149889005,0.169
1732085261874972561,37.260059238453564,4.725289763429203,0.17
1732085261999972562,37.14811080357933,4.69727887017477,0.168
1732085262124972562,37.007468963645614,4.670848187003346,0.167
1732085262249972562,36.87143573515741,4.657834156994056,0.168
1732085262374972563,36.73911940026253,4.634362589167873,0.159
1732085262499972563,36.5984775617332,4.607931914987876,0.153
1732085262624972564,36.503180131887184,4.585839250510041,0.148
1732085262749972565,36.42081681487223,4.580122346684895,0.145
1732085262874972565,36.280174977033674,4.553691675761101,0.142
1732085262999972567,36.147858641241676,4.530220119048387,0.136
1732085263124972566,36.03219331176481,4.512666782638302,0.131
1732085263249972566,35.89616008215914,4.499652767145289,0.133
1732085263374972567,35.760126854601324,4.4866387564067125,0.136
1732085263499972568,35.62409362696931,4.473624748121079,0.137
1732085263624972568,35.50010279463406,4.453112310645523,0.142
1732085263749972569,35.37239506907839,4.44305741310664,0.138
1732085263874972569,35.244687345359566,4.433002519750286,0.145
1732085263999972570,35.10776239520572,4.396114331677076,0.147
1732085264124972570,34.971729168734896,4.38310033330664,0.15
1732085264249972571,34.83941283295043,4.359628798017301,0.159
1732085264374972571,34.740398510757075,4.347993695719509,0.154
1732085264499972572,34.74411540163979,4.337536154896785,0.153
1732085264624972572,34.75615779791203,4.330037722568903,0.155
1732085264749972573,34.740398510757075,4.347993695719509,0.147
1732085264874972573,34.74872401639961,4.3509528038290135,0.147
1732085264999972575,34.70427132844858,4.3704889941540195,0.153
1732085265124972574,34.659818640774525,4.390025184594702,0.145
1732085265249972575,34.61819112373486,4.375229647298225,0.149
1732085265374972575,34.60525700685715,4.358853893089631,0.155
1732085265499972576,34.59232289056914,4.342478137607364,0.163
1732085265624972576,34.571063268284995,4.323143274384197,0.168
1732085265749972577,34.571063268284995,4.323143274384197,0.171
1732085265874972577,34.559020876740796,4.330641707498891,0.17
1732085265999972579,34.571063268284995,4.323143274384197,0.18
1732085266124972578,34.56734637742273,4.3336008157173005,0.18
1732085266249972579,34.559020876740796,4.330641707498891,0.179
1732085266374972580,34.56362948724012,4.34405835582152,0.177
1732085266499972580,34.55158709576545,4.351556788470631,0.182
1732085266624972580,34.55158709576545,4.351556788470631,0.177
1732085266749972581,34.54697848188695,4.338140142856135,0.173
1732085266874972582,34.542369867179744,4.324723492938595,0.18
1732085266999972583,34.533152641143865,4.297890196886527,0.183
1732085267124972583,34.52393541451829,4.271056902108132,0.182
1732085267249972583,34.518435078054885,4.233766066715145,0.181
1732085267374972584,34.51665163242976,4.186017689488029,0.176
1732085267499972584,34.514868186454585,4.138269312620167,0.178
1732085267624972585,34.50475923386959,4.087561828784061,0.175
1732085267749972585,34.4900416700372,4.023437696341784,0.179
1732085267874972586,34.48364960896791,3.962272673398676,0.171
1732085267999972587,34.473540658517834,3.911565187880015,0.177
1732085268124972587,34.47086548496849,3.8399426228289,0.176
1732085268249972588,34.463581699204475,3.7549034103128758,0.177
1732085268374972588,34.46462341537132,3.6728233030023256,0.184
1732085268499972589,34.4573396284852,3.587784090060988,0.178
1732085268624972589,34.45005584120107,3.502744876476859,0.174
1732085268749972590,34.44648894118034,3.407248121179422,0.176
1732085268874972590,34.45124754658649,3.314710475406933,0.176
1732085268999972592,34.43935514262681,3.2162546131483296,0.173
1732085269124972591,34.44411374731354,3.1237169656059702,0.173
1732085269249972592,34.44054684410885,3.0282202110908454,0.169
1732085269374972592,34.44530544757997,2.9356825630877337,0.163
1732085269499972593,34.43341303972914,2.837226702348654,0.15
1732085269624972593,34.438171640020975,2.744689053140502,0.15
1732085269749972594,34.438321625613156,2.6387347585092495,0.15
1732085269874972595,34.438471610859956,2.5327804622498906,0.144
1732085269999972596,34.44605537207353,2.405911084125653,0.147
1732085270124972596,34.446205355238035,2.299956788563544,0.15
1732085270249972596,34.454680844098846,2.1969615981476274,0.15
1732085270374972597,34.45393909648237,2.067133112705549,0.156
1732085270499972597,34.44948046065051,1.9477621681026331,0.143
1732085270624972598,34.45334733011581,1.8313503299811167,0.147
1732085270749972598,34.44888868967693,1.711979385118501,0.139
1732085270874972599,34.44814693990976,1.5821508988612472,0.143
1732085270999972600,34.442796569303574,1.4389057633460105,0.142
1732085271124972600,34.45870583026864,1.3149954910984025,0.14
1732085271249972601,34.44681340991166,1.2165396261110626,0.143
1732085271374972601,34.4423547636466,1.097168680537349,0.142
1732085271499972602,34.437004389572394,0.9539235457074495,0.15
1732085271624972602,34.43254574162884,0.8345525975084174,0.146
1732085271749972603,34.43180398342081,0.7047241095383256,0.153
1732085271874972603,34.4227367139024,0.5719365143048503,0.164
1732085271999972605,34.41827806448316,0.45256556604911324,0.168
1732085272124972604,34.40921079414363,0.3197779710070332,0.175
1732085272249972605,34.41679453660174,0.19290858875762495,0.175
1732085272374972605,34.41144415183424,0.04966345336097433,0.185
1732085272499972606,34.39865998701425,-0.07266660321658946,0.181
1732085272624972606,34.39330959975068,-0.21591174105651412,0.189
1732085272749972607,34.39256782874774,-0.34574023138448773,0.182
1732085272874972607,34.391826056459664,-0.4755687217076261,0.189
1732085272999972609,34.39480117332206,-0.6158547525155029,0.187
1732085273124972609,34.38945077987871,-0.7590998906979216,0.202
1732085273249972609,34.38038349465247,-0.8918874893505873,0.202
1732085273374972610,34.383358607601686,-1.0321735216844488,0.202
1732085273499972610,34.37800820710592,-1.1754186610106636,0.199
1732085273624972611,34.368940919510614,-1.3082062596201869,0.198
1732085273749972611,34.36359051561008,-1.4514513992744273,0.184
1732085273874972612,34.354523225116004,-1.5842389989826682,0.195
1732085273999972613,34.36121521638175,-1.7349825739719833,0.194
1732085274124972613,34.352147922634494,-1.8677701738438497,0.194
1732085274249972613,34.355123025288734,-2.0080562075131922,0.192
1732085274374972614,34.346055726489,-2.140843808444558,0.191
1732085274499972615,34.349030826122316,-2.2811298417617216,0.197
1732085274624972615,34.343680411945655,-2.4243749847761986,0.195
1732085274749972616,34.34665550684548,-2.5646610199944373,0.193
1732085274874972616,34.349630602457935,-2.7049470548356247,0.2
1732085274999972618,34.35349743275475,-2.8213588988092866,0.196
