%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1732085365028608769,4816,1732085365028206348,map,9.678334074974424,-3.6256621689287605,1.3391044565019556,0.0,0.0,0.0,1.0
1732085365128802439,4817,1732085365128222703,map,9.54107482624141,-3.7480227038433376,1.3573980813670017,0.0,0.0,0.0,1.0
1732085365228888123,4818,1732085365228429794,map,9.434075986749129,-3.8206402173393053,1.368778979499381,0.0,0.0,0.0,1.0
1732085365328758826,4819,1732085365328583478,map,9.385650080596495,-3.8269222463002177,1.465482040814836,0.0,0.0,0.0,1.0
1732085365428365418,4820,1732085365428316354,map,9.326495420678505,-3.8877681918339166,1.5170253188867802,0.0,0.0,0.0,1.0
1732085365529900374,4821,1732085365529284238,map,9.234760710582117,-3.996749290891947,1.5813699691094285,0.0,0.0,0.0,1.0
1732085365629693969,4822,1732085365629282712,map,9.159560137505586,-4.060799880125568,1.5377524588691345,0.0,0.0,0.0,1.0
1732085365728968784,4823,1732085365728774070,map,9.150162715890538,-4.032446892606789,1.2671398272681136,0.0,0.0,0.0,1.0
1732085365829143008,4824,1732085365828554391,map,9.22690412712965,-3.807983290167769,1.0557837635572096,0.0,0.0,0.0,1.0
1732085365928300926,4825,1732085365927957534,map,9.28667735945044,-3.615412823036896,0.8950672121429173,0.0,0.0,0.0,1.0
1732085366028861673,4826,1732085366028311729,map,9.240930250470676,-3.6545916921710813,0.9030521963125865,0.0,0.0,0.0,1.0
1732085366128438053,4827,1732085366128170013,map,9.19691145288495,-3.7261400349097196,0.8987082459385315,0.0,0.0,0.0,1.0
1732085366229478828,4828,1732085366229005336,map,9.154586231246522,-3.8004596027894824,0.9058823427921299,0.0,0.0,0.0,1.0
1732085366328610370,4829,1732085366328123807,map,9.164865144843692,-3.774274824576504,0.8934715321081041,0.0,0.0,0.0,1.0
1732085366428081198,4830,1732085366427770853,map,9.173627568312494,-3.740713359513735,0.8614503395627534,0.0,0.0,0.0,1.0
